,x,y
1,13.41944,48.94341
2,13.42463,48.9609
3,13.40975,48.94178
4,13.40351,49.00285
5,13.36612,49.00661
6,13.31308,49.09172
7,13.31099,49.07111
8,13.51216,48.89659
9,13.41944,48.94341
10,13.42463,48.9609
11,13.40975,48.94178
12,13.40351,49.00285
13,13.36612,49.00661
14,13.31308,49.09172
15,13.31099,49.07111
16,13.51216,48.89659
17,19.7432,64.262299
18,19.742701,64.263702
19,19.749701,64.2631
20,19.760799,64.259804
21,19.7747,64.255203
22,19.777399,64.256699
23,19.783899,64.248703
24,19.7883,64.245903
25,19.744301,64.261803
26,19.7857,64.2426
27,19.7768,64.248703
28,19.7784,64.251099
29,19.787901,64.245003
30,19.787901,64.232498
31,19.7489,64.2593
32,19.7439,64.261803
33,19.744101,64.261902
34,19.7855,64.242798
35,19.7857,64.242699
36,19.776501,64.248802
37,19.776699,64.248802
38,19.777901,64.251404
39,19.7778,64.251503
40,19.7876,64.2454
41,19.7878,64.245201
42,19.770701,64.239502
43,19.792,64.236099
44,19.7486,64.2593
45,19.7491,64.259399
46,19.8113,64.249603
47,19.806999,64.257202
48,19.8076,64.254501
49,19.8027,64.255898
50,19.803801,64.254204
51,19.771299,64.266899
52,19.7712,64.270599
53,19.778601,64.266403
54,19.824301,64.241402
55,19.812901,64.240997
56,19.8067,64.250397
57,19.823799,64.241303
58,19.778299,64.266502
59,19.778299,64.266502
60,19.8239,64.241402
61,19.812,64.241303
62,19.8125,64.241699
63,19.806299,64.250397
64,19.8067,64.250298
65,19.7768,64.264298
66,19.781601,64.263199
67,19.781401,64.263298
68,19.781401,64.263397
69,19.7432,64.262299
70,19.742701,64.263702
71,19.749701,64.2631
72,19.760799,64.259804
73,19.7747,64.255203
74,19.777399,64.256699
75,19.783899,64.248703
76,19.7883,64.245903
77,19.744301,64.261803
78,19.7857,64.2426
79,19.7768,64.248703
80,19.7784,64.251099
81,19.787901,64.245003
82,19.787901,64.232498
83,19.7489,64.2593
84,19.7439,64.261803
85,19.744101,64.261902
86,19.7855,64.242798
87,19.7857,64.242699
88,19.776501,64.248802
89,19.776699,64.248802
90,19.777901,64.251404
91,19.7778,64.251503
92,19.7876,64.2454
93,19.7878,64.245201
94,19.770701,64.239502
95,19.792,64.236099
96,19.7486,64.2593
97,19.7491,64.259399
98,19.8113,64.249603
99,19.806999,64.257202
100,19.8076,64.254501
101,19.8027,64.255898
102,19.803801,64.254204
103,19.771299,64.266899
104,19.7712,64.270599
105,19.778601,64.266403
106,19.824301,64.241402
107,19.812901,64.240997
108,19.8067,64.250397
109,19.823799,64.241303
110,19.778299,64.266502
111,19.778299,64.266502
112,19.8239,64.241402
113,19.812,64.241303
114,19.8125,64.241699
115,19.806299,64.250397
116,19.8067,64.250298
117,19.7768,64.264298
118,19.781601,64.263199
119,19.781401,64.263298
120,19.781401,64.263397
121,29.334205,66.335013
122,29.128373,66.223412
123,29.426609,66.382179
124,29.579633,66.381838
125,29.163472,66.207575
126,29.401541,66.212673
127,29.423721,66.379146
128,29.13634,66.191183
129,29.518193,66.337734
130,29.391159,66.216611
131,29.334205,66.335013
132,29.128373,66.223412
133,29.426609,66.382179
134,29.579633,66.381838
135,29.163472,66.207575
136,29.401541,66.212673
137,29.423721,66.379146
138,29.13634,66.191183
139,29.518193,66.337734
140,29.391159,66.216611
